"ID","MonthlyIncome"
871,6212.78576954
872,2201.34497139655
873,14235.6673658269
874,2201.34497139655
875,2201.34497139655
876,6212.78576954
877,6212.78576954
878,2201.34497139655
879,2201.34497139655
880,14235.6673658269
881,10224.2265676834
882,2201.34497139655
883,6212.78576954
884,6212.78576954
885,6212.78576954
886,6212.78576954
887,6212.78576954
888,6212.78576954
889,6212.78576954
890,2201.34497139655
891,6212.78576954
892,10224.2265676834
893,10224.2265676834
894,6212.78576954
895,10224.2265676834
896,10224.2265676834
897,10224.2265676834
898,14235.6673658269
899,6212.78576954
900,2201.34497139655
901,2201.34497139655
902,6212.78576954
903,6212.78576954
904,2201.34497139655
905,14235.6673658269
906,6212.78576954
907,10224.2265676834
908,6212.78576954
909,2201.34497139655
910,2201.34497139655
911,18247.1081639703
912,2201.34497139655
913,2201.34497139655
914,10224.2265676834
915,6212.78576954
916,6212.78576954
917,2201.34497139655
918,6212.78576954
919,2201.34497139655
920,2201.34497139655
921,2201.34497139655
922,2201.34497139655
923,6212.78576954
924,6212.78576954
925,14235.6673658269
926,2201.34497139655
927,6212.78576954
928,10224.2265676834
929,2201.34497139655
930,2201.34497139655
931,6212.78576954
932,10224.2265676834
933,10224.2265676834
934,2201.34497139655
935,2201.34497139655
936,2201.34497139655
937,10224.2265676834
938,10224.2265676834
939,6212.78576954
940,2201.34497139655
941,2201.34497139655
942,10224.2265676834
943,10224.2265676834
944,6212.78576954
945,2201.34497139655
946,6212.78576954
947,2201.34497139655
948,2201.34497139655
949,2201.34497139655
950,6212.78576954
951,2201.34497139655
952,6212.78576954
953,6212.78576954
954,2201.34497139655
955,6212.78576954
956,10224.2265676834
957,10224.2265676834
958,2201.34497139655
959,10224.2265676834
960,18247.1081639703
961,2201.34497139655
962,6212.78576954
963,6212.78576954
964,6212.78576954
965,2201.34497139655
966,18247.1081639703
967,2201.34497139655
968,10224.2265676834
969,14235.6673658269
970,2201.34497139655
971,6212.78576954
972,6212.78576954
973,2201.34497139655
974,2201.34497139655
975,6212.78576954
976,2201.34497139655
977,6212.78576954
978,2201.34497139655
979,10224.2265676834
980,18247.1081639703
981,2201.34497139655
982,10224.2265676834
983,2201.34497139655
984,2201.34497139655
985,6212.78576954
986,2201.34497139655
987,2201.34497139655
988,6212.78576954
989,10224.2265676834
990,2201.34497139655
991,6212.78576954
992,2201.34497139655
993,6212.78576954
994,6212.78576954
995,6212.78576954
996,6212.78576954
997,2201.34497139655
998,14235.6673658269
999,10224.2265676834
1000,2201.34497139655
1001,6212.78576954
1002,6212.78576954
1003,6212.78576954
1004,6212.78576954
1005,2201.34497139655
1006,6212.78576954
1007,2201.34497139655
1008,6212.78576954
1009,18247.1081639703
1010,6212.78576954
1011,10224.2265676834
1012,6212.78576954
1013,6212.78576954
1014,6212.78576954
1015,6212.78576954
1016,2201.34497139655
1017,2201.34497139655
1018,10224.2265676834
1019,10224.2265676834
1020,2201.34497139655
1021,6212.78576954
1022,6212.78576954
1023,6212.78576954
1024,10224.2265676834
1025,14235.6673658269
1026,18247.1081639703
1027,6212.78576954
1028,6212.78576954
1029,6212.78576954
1030,10224.2265676834
1031,6212.78576954
1032,2201.34497139655
1033,10224.2265676834
1034,2201.34497139655
1035,6212.78576954
1036,2201.34497139655
1037,6212.78576954
1038,10224.2265676834
1039,10224.2265676834
1040,6212.78576954
1041,2201.34497139655
1042,2201.34497139655
1043,10224.2265676834
1044,6212.78576954
1045,2201.34497139655
1046,2201.34497139655
1047,6212.78576954
1048,10224.2265676834
1049,2201.34497139655
1050,6212.78576954
1051,10224.2265676834
1052,2201.34497139655
1053,6212.78576954
1054,2201.34497139655
1055,2201.34497139655
1056,2201.34497139655
1057,6212.78576954
1058,14235.6673658269
1059,6212.78576954
1060,2201.34497139655
1061,6212.78576954
1062,6212.78576954
1063,6212.78576954
1064,2201.34497139655
1065,6212.78576954
1066,2201.34497139655
1067,2201.34497139655
1068,18247.1081639703
1069,6212.78576954
1070,2201.34497139655
1071,2201.34497139655
1072,6212.78576954
